1,"org.apache.commons.codec.Encoder;org.apache.commons.codec.EncoderException;org.apache.commons.codec.language.Caverphone;org.apache.commons.codec.language.DoubleMetaphone;org.apache.commons.codec.language.Metaphone;org.apache.commons.codec.language.RefinedSoundex;org.apache.commons.codec.language.Soundex;org.apache.commons.codec.language.SoundexUtils;org.apache.commons.codec.StringEncoder","org.apache.commons.codec.language.CaverphoneTest;org.apache.commons.codec.language.DoubleMetaphoneTest;org.apache.commons.codec.language.MetaphoneTest;org.apache.commons.codec.language.RefinedSoundexTest;org.apache.commons.codec.language.SoundexTest;org.apache.commons.codec.StringEncoderAbstractTest"
2,"org.apache.commons.codec.binary.Base64;org.apache.commons.codec.binary.Base64InputStream;org.apache.commons.codec.binary.Base64OutputStream;org.apache.commons.codec.BinaryDecoder;org.apache.commons.codec.BinaryEncoder;org.apache.commons.codec.Decoder;org.apache.commons.codec.DecoderException;org.apache.commons.codec.Encoder;org.apache.commons.codec.EncoderException","org.apache.commons.codec.binary.Base64InputStreamTest;org.apache.commons.codec.binary.Base64OutputStreamTest;org.apache.commons.codec.binary.Base64TestData"
3,"org.apache.commons.codec.Encoder;org.apache.commons.codec.EncoderException;org.apache.commons.codec.language.DoubleMetaphone;org.apache.commons.codec.StringEncoder","org.apache.commons.codec.language.DoubleMetaphone2Test"
4,"org.apache.commons.codec.binary.Base64;org.apache.commons.codec.BinaryDecoder;org.apache.commons.codec.BinaryEncoder;org.apache.commons.codec.Decoder;org.apache.commons.codec.DecoderException;org.apache.commons.codec.Encoder;org.apache.commons.codec.EncoderException","org.apache.commons.codec.binary.Base64Codec13Test"
5,"org.apache.commons.codec.binary.Base64;org.apache.commons.codec.binary.Base64InputStream;org.apache.commons.codec.binary.Base64OutputStream;org.apache.commons.codec.binary.StringUtils;org.apache.commons.codec.BinaryDecoder;org.apache.commons.codec.BinaryEncoder;org.apache.commons.codec.Decoder;org.apache.commons.codec.DecoderException;org.apache.commons.codec.Encoder;org.apache.commons.codec.EncoderException","org.apache.commons.codec.binary.Base64InputStreamTest;org.apache.commons.codec.binary.Base64OutputStreamTest;org.apache.commons.codec.binary.Base64TestData"
6,"org.apache.commons.codec.binary.Base64;org.apache.commons.codec.binary.Base64InputStream;org.apache.commons.codec.binary.StringUtils;org.apache.commons.codec.BinaryDecoder;org.apache.commons.codec.BinaryEncoder;org.apache.commons.codec.Decoder;org.apache.commons.codec.DecoderException;org.apache.commons.codec.Encoder;org.apache.commons.codec.EncoderException","org.apache.commons.codec.binary.Base64InputStreamTest"
7,"org.apache.commons.codec.binary.Base64;org.apache.commons.codec.binary.Hex;org.apache.commons.codec.binary.StringUtils;org.apache.commons.codec.BinaryDecoder;org.apache.commons.codec.BinaryEncoder;org.apache.commons.codec.Decoder;org.apache.commons.codec.DecoderException;org.apache.commons.codec.Encoder;org.apache.commons.codec.EncoderException","org.apache.commons.codec.binary.Base64Test"
8,"org.apache.commons.codec.binary.Base64;org.apache.commons.codec.binary.Base64InputStream;org.apache.commons.codec.BinaryDecoder;org.apache.commons.codec.BinaryEncoder;org.apache.commons.codec.Decoder;org.apache.commons.codec.DecoderException;org.apache.commons.codec.Encoder;org.apache.commons.codec.EncoderException","org.apache.commons.codec.binary.Base64InputStreamTest;org.apache.commons.codec.binary.Codec105ErrorInputStream"
9,"org.apache.commons.codec.binary.Base64;org.apache.commons.codec.BinaryDecoder;org.apache.commons.codec.BinaryEncoder;org.apache.commons.codec.Decoder;org.apache.commons.codec.DecoderException;org.apache.commons.codec.Encoder;org.apache.commons.codec.EncoderException","org.apache.commons.codec.binary.Base64Test"
10,"org.apache.commons.codec.Encoder;org.apache.commons.codec.EncoderException;org.apache.commons.codec.language.Caverphone;org.apache.commons.codec.StringEncoder","org.apache.commons.codec.language.CaverphoneTest;org.apache.commons.codec.StringEncoderAbstractTest"
11,"org.apache.commons.codec.binary.StringUtils;org.apache.commons.codec.BinaryDecoder;org.apache.commons.codec.BinaryEncoder;org.apache.commons.codec.Decoder;org.apache.commons.codec.DecoderException;org.apache.commons.codec.Encoder;org.apache.commons.codec.EncoderException;org.apache.commons.codec.net.QuotedPrintableCodec;org.apache.commons.codec.net.Utils;org.apache.commons.codec.StringDecoder;org.apache.commons.codec.StringEncoder","org.apache.commons.codec.net.QuotedPrintableCodecTest"
12,"org.apache.commons.codec.binary.Base32;org.apache.commons.codec.binary.Base32InputStream;org.apache.commons.codec.binary.Base32OutputStream;org.apache.commons.codec.binary.Base64;org.apache.commons.codec.binary.Base64InputStream;org.apache.commons.codec.binary.Base64OutputStream;org.apache.commons.codec.binary.BaseNCodec;org.apache.commons.codec.binary.BaseNCodecInputStream;org.apache.commons.codec.binary.BaseNCodecOutputStream;org.apache.commons.codec.binary.StringUtils;org.apache.commons.codec.BinaryDecoder;org.apache.commons.codec.BinaryEncoder;org.apache.commons.codec.Decoder;org.apache.commons.codec.DecoderException;org.apache.commons.codec.Encoder;org.apache.commons.codec.EncoderException","org.apache.commons.codec.binary.Base32InputStreamTest;org.apache.commons.codec.binary.Base32TestData;org.apache.commons.codec.binary.Base64InputStreamTest;org.apache.commons.codec.binary.Base64TestData;org.apache.commons.codec.binary.Codec105ErrorInputStream"
13,"org.apache.commons.codec.binary.StringUtils;org.apache.commons.codec.Encoder;org.apache.commons.codec.EncoderException;org.apache.commons.codec.language.DoubleMetaphone;org.apache.commons.codec.StringEncoder","org.apache.commons.codec.language.DoubleMetaphoneTest;org.apache.commons.codec.StringEncoderAbstractTest"
14,"org.apache.commons.codec.language.bm.Lang;org.apache.commons.codec.language.bm.Languages;org.apache.commons.codec.language.bm.NameType;org.apache.commons.codec.language.bm.PhoneticEngine;org.apache.commons.codec.language.bm.Rule;org.apache.commons.codec.language.bm.RuleType","org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest"
15,"org.apache.commons.codec.Encoder;org.apache.commons.codec.EncoderException;org.apache.commons.codec.language.Soundex;org.apache.commons.codec.language.SoundexUtils;org.apache.commons.codec.StringEncoder","org.apache.commons.codec.language.SoundexTest;org.apache.commons.codec.StringEncoderAbstractTest"
16,"org.apache.commons.codec.binary.Base32;org.apache.commons.codec.binary.BaseNCodec;org.apache.commons.codec.BinaryDecoder;org.apache.commons.codec.BinaryEncoder;org.apache.commons.codec.Decoder;org.apache.commons.codec.DecoderException;org.apache.commons.codec.Encoder;org.apache.commons.codec.EncoderException","org.apache.commons.codec.binary.Base32Test"
17,"org.apache.commons.codec.binary.StringUtils;org.apache.commons.codec.Charsets","org.apache.commons.codec.binary.StringUtilsTest"
18,"org.apache.commons.codec.binary.CharSequenceUtils;org.apache.commons.codec.binary.StringUtils","org.apache.commons.codec.binary.StringUtilsTest"
